#,Name,Type,Category,PP,Power,Accuracy,Gen
106,Minimize,Normal,Status,10,Null,Null,1
107,Smokescreen,Normal,Status,20,Null,100%,1
108,Confuse Ray,Ghost,Status,10,Null,100%,1
109,Withdraw,Water,Status,40,Null,Null,1
110,Defense Curl,Normal,Status,40,Null,Null,1
111,Barrier,Psychic,Status,20,Null,Null,1
112,Light Screen,Psychic,Status,30,Null,Null,1
113,Haze,Ice,Status,30,Null,Null,1
114,Reflect,Psychic,Status,20,Null,Null,1
115,Focus Energy,Normal,Status,30,Null,Null,1
116,Bide,Normal,Physical,10,Null,infinite,1
117,Metronome,Normal,Status,10,Null,Null,1
118,Mirror Move,Flying,Status,20,Null,Null,1
119,Self-Destruct,Normal,Physical,5,200,100%,1
120,Egg Bomb,Normal,Physical,10,100,75%,1
121,Lick,Ghost,Physical,30,30,100%,1
122,Smog,Poison,Special,20,30,70%,1
123,Sludge,Poison,Special,20,65,100%,1
124,Bone Club,Ground,Physical,20,65,85%,1
125,Fire Blast,Fire,Special,5,110,85%,1
126,Waterfall,Water,Physical,15,80,100%,1
127,Clamp,Water,Physical,15,35,85%,1
128,Swift,Normal,Special,20,60,infinite,1
129,Skull Bash,Normal,Physical,10,130,100%,1
130,Spike Cannon,Normal,Physical,15,20,100%,1
131,Constrict,Normal,Physical,35,10,100%,1
132,Amnesia,Psychic,Status,20,Null,Null,1
133,Kinesis,Psychic,Status,15,Null,80%,1
134,Soft-Boiled,Normal,Status,5,Null,Null,1
135,High Jump Kick,Fighting,Physical,10,130,90%,1
136,Glare,Normal,Status,30,Null,100%,1
137,Dream Eater,Psychic,Special,15,100,100%,1
138,Poison Gas,Poison,Status,40,Null,90%,1
139,Barrage,Normal,Physical,20,15,85%,1
140,Leech Life,Bug,Physical,10,80,100%,1
141,Lovely Kiss,Normal,Status,10,Null,75%,1
142,Sky Attack,Flying,Physical,5,140,90%,1
143,Transform,Normal,Status,10,Null,infinite,1
144,Bubble,Water,Special,30,40,100%,1
145,Dizzy Punch,Normal,Physical,10,70,100%,1
146,Spore,Grass,Status,15,Null,100%,1
147,Flash,Normal,Status,20,Null,100%,1
148,Psywave,Psychic,Special,15,Null,100%,1
149,Splash,Normal,Status,40,Null,Null,1
150,Acid Armor,Poison,Status,20,Null,Null,1
151,Crabhammer,Water,Physical,10,100,90%,1
152,Explosion,Normal,Physical,5,250,100%,1
153,Fury Swipes,Normal,Physical,15,18,80%,1
154,Bonemerang,Ground,Physical,10,50,90%,1
155,Rest,Psychic,Status,5,Null,Null,1
156,Rock Slide,Rock,Physical,10,75,90%,1
157,Hyper Fang,Normal,Physical,15,80,90%,1
158,Sharpen,Normal,Status,30,Null,Null,1
159,Conversion,Normal,Status,30,Null,Null,1
160,Tri Attack,Normal,Special,10,80,100%,1
161,Super Fang,Normal,Physical,10,Null,90%,1
162,Slash,Normal,Physical,20,70,100%,1
163,Substitute,Normal,Status,10,Null,Null,1
164,Struggle,Normal,Physical,1,50,infinite,1
165,Sketch,Normal,Status,1,Null,infinite,2
166,Triple Kick,Fighting,Physical,10,10,90%,2
167,Thief,Dark,Physical,25,60,100%,2
168,Spider Web,Bug,Status,10,Null,infinite,2
169,Mind Reader,Normal,Status,5,Null,infinite,2
170,Nightmare,Ghost,Status,15,Null,100%,2
171,Flame Wheel,Fire,Physical,25,60,100%,2
172,Snore,Normal,Special,15,50,100%,2
173,Curse,Ghost,Status,10,Null,Null,2
174,Flail,Normal,Physical,15,Null,100%,2
175,Conversion 2,Normal,Status,30,Null,infinite,2
176,Aeroblast,Flying,Special,5,100,95%,2
177,Cotton Spore,Grass,Status,40,Null,100%,2
178,Reversal,Fighting,Physical,15,Null,100%,2
179,Spite,Ghost,Status,10,Null,100%,2
180,Powder Snow,Ice,Special,25,40,100%,2
181,Protect,Normal,Status,10,Null,Null,2
182,Mach Punch,Fighting,Physical,30,40,100%,2
183,Scary Face,Normal,Status,10,Null,100%,2
184,Feint Attack,Dark,Physical,20,60,infinite,2
185,Sweet Kiss,Fairy,Status,10,Null,75%,2
186,Belly Drum,Normal,Status,10,Null,Null,2
187,Sludge Bomb,Poison,Special,10,90,100%,2
188,Mud-Slap,Ground,Special,10,20,100%,2
189,Octazooka,Water,Special,10,65,85%,2
190,Spikes,Ground,Status,20,Null,Null,2
191,Zap Cannon,Electric,Special,5,120,50%,2
192,Foresight,Normal,Status,40,Null,infinite,2
193,Destiny Bond,Ghost,Status,5,Null,Null,2
194,Perish Song,Normal,Status,5,Null,Null,2
195,Icy Wind,Ice,Special,15,55,95%,2
196,Detect,Fighting,Status,5,Null,Null,2
197,Bone Rush,Ground,Physical,10,25,90%,2
198,Lock-On,Normal,Status,5,Null,infinite,2
199,Outrage,Dragon,Physical,10,120,100%,2
200,Sandstorm,Rock,Status,10,Null,Null,2
201,Giga Drain,Grass,Special,10,75,100%,2
202,Endure,Normal,Status,10,Null,Null,2
203,Charm,Fairy,Status,20,Null,100%,2
204,Rollout,Rock,Physical,20,30,90%,2
205,False Swipe,Normal,Physical,40,40,100%,2
206,Swagger,Normal,Status,15,Null,85%,2
207,Milk Drink,Normal,Status,5,Null,Null,2
208,Spark,Electric,Physical,20,65,100%,2
209,Fury Cutter,Bug,Physical,20,40,95%,2
210,Steel Wing,Steel,Physical,25,70,90%,2
211,Mean Look,Normal,Status,5,Null,infinite,2
212,Attract,Normal,Status,15,Null,100%,2
213,Sleep Talk,Normal,Status,10,Null,Null,2
214,Heal Bell,Normal,Status,5,Null,Null,2
215,Return,Normal,Physical,20,Null,100%,2
216,Present,Normal,Physical,15,Null,90%,2
217,Frustration,Normal,Physical,20,Null,100%,2
218,Safeguard,Normal,Status,25,Null,Null,2
219,Pain Split,Normal,Status,20,Null,infinite,2
220,Sacred Fire,Fire,Physical,5,100,95%,2
221,Magnitude,Ground,Physical,30,Null,100%,2
222,Dynamic Punch,Fighting,Physical,5,100,50%,2
223,Megahorn,Bug,Physical,10,120,85%,2
224,Dragon Breath,Dragon,Special,20,60,100%,2
225,Baton Pass,Normal,Status,40,Null,Null,2
226,Encore,Normal,Status,5,Null,100%,2
227,Pursuit,Dark,Physical,20,40,100%,2
228,Rapid Spin,Normal,Physical,40,50,100%,2
229,Sweet Scent,Normal,Status,20,Null,100%,2
230,Iron Tail,Steel,Physical,15,100,75%,2
231,Metal Claw,Steel,Physical,35,50,95%,2
232,Vital Throw,Fighting,Physical,10,70,infinite,2
233,Morning Sun,Normal,Status,5,Null,Null,2
234,Synthesis,Grass,Status,5,Null,Null,2
235,Moonlight,Fairy,Status,5,Null,Null,2
236,Hidden Power,Normal,Special,15,60,100%,2
237,Cross Chop,Fighting,Physical,5,100,80%,2
238,Twister,Dragon,Special,20,40,100%,2
239,Rain Dance,Water,Status,5,Null,Null,2
240,Sunny Day,Fire,Status,5,Null,Null,2
241,Crunch,Dark,Physical,15,80,100%,2
242,Mirror Coat,Psychic,Special,20,Null,100%,2
243,Psych Up,Normal,Status,10,Null,infinite,2
244,Extreme Speed,Normal,Physical,5,80,100%,2
245,Ancient Power,Rock,Special,5,60,100%,2
246,Shadow Ball,Ghost,Special,15,80,100%,2
247,Future Sight,Psychic,Special,10,120,100%,2
248,Rock Smash,Fighting,Physical,15,40,100%,2
249,Whirlpool,Water,Special,15,35,85%,2
250,Beat Up,Dark,Physical,10,Null,100%,2
251,Fake Out,Normal,Physical,10,40,100%,3
252,Uproar,Normal,Special,10,90,100%,3
253,Stockpile,Normal,Status,20,Null,Null,3
254,Spit Up,Normal,Special,10,Null,100%,3
255,Swallow,Normal,Status,10,Null,Null,3
256,Heat Wave,Fire,Special,10,95,90%,3
257,Hail,Ice,Status,10,Null,Null,3
258,Torment,Dark,Status,15,Null,100%,3
259,Flatter,Dark,Status,15,Null,100%,3
260,Will-O-Wisp,Fire,Status,15,Null,85%,3
261,Memento,Dark,Status,10,Null,100%,3
262,Facade,Normal,Physical,20,70,100%,3
263,Focus Punch,Fighting,Physical,20,150,100%,3
264,Smelling Salts,Normal,Physical,10,70,100%,3
265,Follow Me,Normal,Status,20,Null,Null,3
266,Nature Power,Normal,Status,20,Null,Null,3
267,Charge,Electric,Status,20,Null,Null,3
268,Taunt,Dark,Status,20,Null,100%,3
269,Helping Hand,Normal,Status,20,Null,Null,3
270,Trick,Psychic,Status,10,Null,100%,3
271,Role Play,Psychic,Status,10,Null,infinite,3
272,Wish,Normal,Status,10,Null,Null,3
273,Assist,Normal,Status,20,Null,Null,3
274,Ingrain,Grass,Status,20,Null,Null,3
275,Superpower,Fighting,Physical,5,120,100%,3
276,Magic Coat,Psychic,Status,15,Null,Null,3
277,Recycle,Normal,Status,10,Null,Null,3
278,Revenge,Fighting,Physical,10,60,100%,3
279,Brick Break,Fighting,Physical,15,75,100%,3
280,Yawn,Normal,Status,10,Null,infinite,3
281,Knock Off,Dark,Physical,20,65,100%,3
282,Endeavor,Normal,Physical,5,Null,100%,3
283,Eruption,Fire,Special,5,150,100%,3
284,Skill Swap,Psychic,Status,10,Null,infinite,3
285,Imprison,Psychic,Status,10,Null,Null,3
286,Refresh,Normal,Status,20,Null,Null,3
287,Grudge,Ghost,Status,5,Null,Null,3
288,Snatch,Dark,Status,10,Null,Null,3
289,Secret Power,Normal,Physical,20,70,100%,3
290,Dive,Water,Physical,10,80,100%,3
291,Arm Thrust,Fighting,Physical,20,15,100%,3
292,Camouflage,Normal,Status,20,Null,Null,3
293,Tail Glow,Bug,Status,20,Null,Null,3
294,Luster Purge,Psychic,Special,5,95,100%,3
295,Mist Ball,Psychic,Special,5,95,100%,3
296,Feather Dance,Flying,Status,15,Null,100%,3
297,Teeter Dance,Normal,Status,20,Null,100%,3
298,Blaze Kick,Fire,Physical,10,85,90%,3
299,Mud Sport,Ground,Status,15,Null,Null,3
300,Ice Ball,Ice,Physical,20,30,90%,3
301,Needle Arm,Grass,Physical,15,60,100%,3
302,Slack Off,Normal,Status,5,Null,Null,3
303,Hyper Voice,Normal,Special,10,90,100%,3
304,Poison Fang,Poison,Physical,15,50,100%,3
305,Crush Claw,Normal,Physical,10,75,95%,3
306,Blast Burn,Fire,Special,5,150,90%,3
307,Hydro Cannon,Water,Special,5,150,90%,3
308,Meteor Mash,Steel,Physical,10,90,90%,3
309,Astonish,Ghost,Physical,15,30,100%,3
310,Weather Ball,Normal,Special,10,50,100%,3
311,Aromatherapy,Grass,Status,5,Null,Null,3
312,Fake Tears,Dark,Status,20,Null,100%,3
313,Air Cutter,Flying,Special,25,60,95%,3
314,Overheat,Fire,Special,5,130,90%,3
315,Odor Sleuth,Normal,Status,40,Null,infinite,3
316,Rock Tomb,Rock,Physical,15,60,95%,3
317,Silver Wind,Bug,Special,5,60,100%,3
318,Metal Sound,Steel,Status,40,Null,85%,3
319,Grass Whistle,Grass,Status,15,Null,55%,3
320,Tickle,Normal,Status,20,Null,100%,3
321,Cosmic Power,Psychic,Status,20,Null,Null,3
322,Water Spout,Water,Special,5,150,100%,3
323,Signal Beam,Bug,Special,15,75,100%,3
324,Shadow Punch,Ghost,Physical,20,60,infinite,3
325,Extrasensory,Psychic,Special,20,80,100%,3
326,Sky Uppercut,Fighting,Physical,15,85,90%,3
327,Sand Tomb,Ground,Physical,15,35,85%,3
328,Sheer Cold,Ice,Special,5,infinite,30%,3
329,Muddy Water,Water,Special,10,90,85%,3
330,Bullet Seed,Grass,Physical,30,25,100%,3
331,Aerial Ace,Flying,Physical,20,60,infinite,3
332,Icicle Spear,Ice,Physical,30,25,100%,3
333,Iron Defense,Steel,Status,15,Null,Null,3
334,Block,Normal,Status,5,Null,infinite,3
335,Howl,Normal,Status,40,Null,Null,3
336,Dragon Claw,Dragon,Physical,15,80,100%,3
337,Frenzy Plant,Grass,Special,5,150,90%,3
338,Bulk Up,Fighting,Status,20,Null,Null,3
339,Bounce,Flying,Physical,5,85,85%,3
340,Mud Shot,Ground,Special,15,55,95%,3
341,Poison Tail,Poison,Physical,25,50,100%,3
342,Covet,Normal,Physical,25,60,100%,3
343,Volt Tackle,Electric,Physical,15,120,100%,3
344,Magical Leaf,Grass,Special,20,60,infinite,3
345,Water Sport,Water,Status,15,Null,Null,3
346,Calm Mind,Psychic,Status,20,Null,Null,3
347,Leaf Blade,Grass,Physical,15,90,100%,3
348,Dragon Dance,Dragon,Status,20,Null,Null,3
349,Rock Blast,Rock,Physical,10,25,90%,3
350,Shock Wave,Electric,Special,20,60,infinite,3
351,Water Pulse,Water,Special,20,60,100%,3
352,Doom Desire,Steel,Special,5,140,100%,3
353,Psycho Boost,Psychic,Special,5,140,90%,3
354,Roost,Flying,Status,5,Null,Null,4
355,Gravity,Psychic,Status,5,Null,Null,4
356,Miracle Eye,Psychic,Status,40,Null,infinite,4
357,Wake-Up Slap,Fighting,Physical,10,70,100%,4
358,Hammer Arm,Fighting,Physical,10,100,90%,4
359,Gyro Ball,Steel,Physical,5,Null,100%,4
360,Healing Wish,Psychic,Status,10,Null,Null,4
361,Brine,Water,Special,10,65,100%,4
362,Natural Gift,Normal,Physical,15,Null,100%,4
363,Feint,Normal,Physical,10,30,100%,4
364,Pluck,Flying,Physical,20,60,100%,4
365,Tailwind,Flying,Status,15,Null,Null,4
366,Acupressure,Normal,Status,30,Null,Null,4
367,Metal Burst,Steel,Physical,10,Null,100%,4
368,U-turn,Bug,Physical,20,70,100%,4
369,Close Combat,Fighting,Physical,5,120,100%,4
370,Payback,Dark,Physical,10,50,100%,4
371,Assurance,Dark,Physical,10,60,100%,4
372,Embargo,Dark,Status,15,Null,100%,4
373,Fling,Dark,Physical,10,Null,100%,4
374,Psycho Shift,Psychic,Status,10,Null,100%,4
375,Trump Card,Normal,Special,5,Null,infinite,4
376,Heal Block,Psychic,Status,15,Null,100%,4
377,Wring Out,Normal,Special,5,Null,100%,4
378,Power Trick,Psychic,Status,10,Null,Null,4
379,Gastro Acid,Poison,Status,10,Null,100%,4
380,Lucky Chant,Normal,Status,30,Null,Null,4
381,Me First,Normal,Status,20,Null,infinite,4
382,Copycat,Normal,Status,20,Null,Null,4
383,Power Swap,Psychic,Status,10,Null,infinite,4
384,Guard Swap,Psychic,Status,10,Null,infinite,4
385,Punishment,Dark,Physical,5,Null,100%,4
386,Last Resort,Normal,Physical,5,140,100%,4
387,Worry Seed,Grass,Status,10,Null,100%,4
388,Sucker Punch,Dark,Physical,5,70,100%,4
389,Toxic Spikes,Poison,Status,20,Null,Null,4
390,Heart Swap,Psychic,Status,10,Null,infinite,4
391,Aqua Ring,Water,Status,20,Null,Null,4
392,Magnet Rise,Electric,Status,10,Null,Null,4
393,Flare Blitz,Fire,Physical,15,120,100%,4
394,Force Palm,Fighting,Physical,10,60,100%,4
395,Aura Sphere,Fighting,Special,20,80,infinite,4
396,Rock Polish,Rock,Status,20,Null,Null,4
397,Poison Jab,Poison,Physical,20,80,100%,4
398,Dark Pulse,Dark,Special,15,80,100%,4
399,Night Slash,Dark,Physical,15,70,100%,4
400,Aqua Tail,Water,Physical,10,90,90%,4
401,Seed Bomb,Grass,Physical,15,80,100%,4
402,Air Slash,Flying,Special,15,75,95%,4
403,X-Scissor,Bug,Physical,15,80,100%,4
404,Bug Buzz,Bug,Special,10,90,100%,4
405,Dragon Pulse,Dragon,Special,10,85,100%,4
406,Dragon Rush,Dragon,Physical,10,100,75%,4
407,Power Gem,Rock,Special,20,80,100%,4
408,Drain Punch,Fighting,Physical,10,75,100%,4
409,Vacuum Wave,Fighting,Special,30,40,100%,4
410,Focus Blast,Fighting,Special,5,120,70%,4
411,Energy Ball,Grass,Special,10,90,100%,4
412,Brave Bird,Flying,Physical,15,120,100%,4
413,Earth Power,Ground,Special,10,90,100%,4
414,Switcheroo,Dark,Status,10,Null,100%,4
415,Giga Impact,Normal,Physical,5,150,90%,4
416,Nasty Plot,Dark,Status,20,Null,Null,4
417,Bullet Punch,Steel,Physical,30,40,100%,4
418,Avalanche,Ice,Physical,10,60,100%,4
419,Ice Shard,Ice,Physical,30,40,100%,4
420,Shadow Claw,Ghost,Physical,15,70,100%,4
421,Thunder Fang,Electric,Physical,15,65,95%,4
422,Ice Fang,Ice,Physical,15,65,95%,4
423,Fire Fang,Fire,Physical,15,65,95%,4
424,Shadow Sneak,Ghost,Physical,30,40,100%,4
425,Mud Bomb,Ground,Special,10,65,85%,4
426,Psycho Cut,Psychic,Physical,20,70,100%,4
427,Zen Headbutt,Psychic,Physical,15,80,90%,4
428,Mirror Shot,Steel,Special,10,65,85%,4
429,Flash Cannon,Steel,Special,10,80,100%,4
430,Rock Climb,Normal,Physical,20,90,85%,4
431,Defog,Flying,Status,15,Null,infinite,4
432,Trick Room,Psychic,Status,5,Null,Null,4
433,Draco Meteor,Dragon,Special,5,130,90%,4
434,Discharge,Electric,Special,15,80,100%,4
435,Lava Plume,Fire,Special,15,80,100%,4
436,Leaf Storm,Grass,Special,5,130,90%,4
437,Power Whip,Grass,Physical,10,120,85%,4
438,Rock Wrecker,Rock,Physical,5,150,90%,4
439,Cross Poison,Poison,Physical,20,70,100%,4
440,Gunk Shot,Poison,Physical,5,120,80%,4
441,Iron Head,Steel,Physical,15,80,100%,4
442,Magnet Bomb,Steel,Physical,20,60,infinite,4
443,Stone Edge,Rock,Physical,5,100,80%,4
444,Captivate,Normal,Status,20,Null,100%,4
445,Stealth Rock,Rock,Status,20,Null,Null,4
446,Grass Knot,Grass,Special,20,Null,100%,4
447,Chatter,Flying,Special,20,65,100%,4
448,Judgment,Normal,Special,10,100,100%,4
449,Bug Bite,Bug,Physical,20,60,100%,4
450,Charge Beam,Electric,Special,10,50,90%,4
451,Wood Hammer,Grass,Physical,15,120,100%,4
452,Aqua Jet,Water,Physical,20,40,100%,4
453,Attack Order,Bug,Physical,15,90,100%,4
454,Defend Order,Bug,Status,10,Null,Null,4
455,Heal Order,Bug,Status,10,Null,Null,4
456,Head Smash,Rock,Physical,5,150,80%,4
457,Double Hit,Normal,Physical,10,35,90%,4
458,Roar of Time,Dragon,Special,5,150,90%,4
459,Spacial Rend,Dragon,Special,5,100,95%,4
460,Lunar Dance,Psychic,Status,10,Null,Null,4
461,Crush Grip,Normal,Physical,5,Null,100%,4
462,Magma Storm,Fire,Special,5,100,75%,4
463,Dark Void,Dark,Status,10,Null,50%,4
464,Seed Flare,Grass,Special,5,120,85%,4
465,Ominous Wind,Ghost,Special,5,60,100%,4
466,Shadow Force,Ghost,Physical,5,120,100%,4
467,Hone Claws,Dark,Status,15,Null,Null,5
468,Wide Guard,Rock,Status,10,Null,Null,5
469,Guard Split,Psychic,Status,10,Null,infinite,5
470,Power Split,Psychic,Status,10,Null,infinite,5
471,Wonder Room,Psychic,Status,10,Null,Null,5
472,Psyshock,Psychic,Special,10,80,100%,5
473,Venoshock,Poison,Special,10,65,100%,5
474,Autotomize,Steel,Status,15,Null,Null,5
475,Rage Powder,Bug,Status,20,Null,Null,5
476,Telekinesis,Psychic,Status,15,Null,infinite,5
477,Magic Room,Psychic,Status,10,Null,Null,5
478,Smack Down,Rock,Physical,15,50,100%,5
479,Storm Throw,Fighting,Physical,10,60,100%,5
480,Flame Burst,Fire,Special,15,70,100%,5
481,Sludge Wave,Poison,Special,10,95,100%,5
482,Quiver Dance,Bug,Status,20,Null,Null,5
483,Heavy Slam,Steel,Physical,10,Null,100%,5
484,Synchronoise,Psychic,Special,10,120,100%,5
485,Electro Ball,Electric,Special,10,Null,100%,5
486,Soak,Water,Status,20,Null,100%,5
487,Flame Charge,Fire,Physical,20,50,100%,5
488,Coil,Poison,Status,20,Null,Null,5
489,Low Sweep,Fighting,Physical,20,65,100%,5
490,Acid Spray,Poison,Special,20,40,100%,5
491,Foul Play,Dark,Physical,15,95,100%,5
492,Simple Beam,Normal,Status,15,Null,100%,5
493,Entrainment,Normal,Status,15,Null,100%,5
494,After You,Normal,Status,15,Null,infinite,5
495,Round,Normal,Special,15,60,100%,5
496,Echoed Voice,Normal,Special,15,40,100%,5
497,Chip Away,Normal,Physical,20,70,100%,5
498,Clear Smog,Poison,Special,15,50,infinite,5
499,Stored Power,Psychic,Special,10,20,100%,5
500,Quick Guard,Fighting,Status,15,Null,Null,5
501,Ally Switch,Psychic,Status,15,Null,Null,5
502,Scald,Water,Special,15,80,100%,5
503,Shell Smash,Normal,Status,15,Null,Null,5
504,Heal Pulse,Psychic,Status,10,Null,infinite,5
505,Hex,Ghost,Special,10,65,100%,5
506,Sky Drop,Flying,Physical,10,60,100%,5
507,Shift Gear,Steel,Status,10,Null,Null,5
508,Circle Throw,Fighting,Physical,10,60,90%,5
509,Incinerate,Fire,Special,15,60,100%,5
510,Quash,Dark,Status,15,Null,100%,5
511,Acrobatics,Flying,Physical,15,55,100%,5
512,Reflect Type,Normal,Status,15,Null,infinite,5
513,Retaliate,Normal,Physical,5,70,100%,5
514,Final Gambit,Fighting,Special,5,Null,100%,5
515,Bestow,Normal,Status,15,Null,infinite,5
516,Inferno,Fire,Special,5,100,50%,5
517,Water Pledge,Water,Special,10,80,100%,5
518,Fire Pledge,Fire,Special,10,80,100%,5
519,Grass Pledge,Grass,Special,10,80,100%,5
520,Volt Switch,Electric,Special,20,70,100%,5
521,Struggle Bug,Bug,Special,20,50,100%,5
522,Bulldoze,Ground,Physical,20,60,100%,5
523,Frost Breath,Ice,Special,10,60,90%,5
524,Dragon Tail,Dragon,Physical,10,60,90%,5
525,Work Up,Normal,Status,30,Null,Null,5
526,Electroweb,Electric,Special,15,55,95%,5
527,Wild Charge,Electric,Physical,15,90,100%,5
528,Drill Run,Ground,Physical,10,80,95%,5
529,Dual Chop,Dragon,Physical,15,40,90%,5
530,Heart Stamp,Psychic,Physical,25,60,100%,5
531,Horn Leech,Grass,Physical,10,75,100%,5
532,Sacred Sword,Fighting,Physical,15,90,100%,5
533,Razor Shell,Water,Physical,10,75,95%,5
534,Heat Crash,Fire,Physical,10,Null,100%,5
535,Leaf Tornado,Grass,Special,10,65,90%,5
536,Steamroller,Bug,Physical,20,65,100%,5
537,Cotton Guard,Grass,Status,10,Null,Null,5
538,Night Daze,Dark,Special,10,85,95%,5
539,Psystrike,Psychic,Special,10,100,100%,5
540,Tail Slap,Normal,Physical,10,25,85%,5
541,Hurricane,Flying,Special,10,110,70%,5
542,Head Charge,Normal,Physical,15,120,100%,5
543,Gear Grind,Steel,Physical,15,50,85%,5
544,Searing Shot,Fire,Special,5,100,100%,5
545,Techno Blast,Normal,Special,5,120,100%,5
546,Relic Song,Normal,Special,10,75,100%,5
